"dot_number","company","dba","city","state","phone","trucks","drivers","alert_basics","n_alerts","inspections","driver_oos","vehicle_oos","sms_profile"
"1542501","LINCOLN TRUCKING INC",,"SNELLVILLE","GA","7708373565","21","35","HOS|DriverFitness|DrugsAlcohol|VehicleMaint","4","35","6","6","https://ai.fmcsa.dot.gov/SMS/Carrier/1542501/Overview.aspx"
"4017068","BACKUP LOGISTICS LLC",,"HOUSTON","TX","6092184539","11","11","HOS|DriverFitness|DrugsAlcohol|VehicleMaint","4","29","15","7","https://ai.fmcsa.dot.gov/SMS/Carrier/4017068/Overview.aspx"
"4044314","HD DIRECT LOGISTICS LLC",,"SPRINGFIELD","IL","9167077301","9","4","HOS|DriverFitness|DrugsAlcohol|VehicleMaint","4","29","9","9","https://ai.fmcsa.dot.gov/SMS/Carrier/4044314/Overview.aspx"
"4252254","FREIGHT TRANSLINES INC",,"SACRAMENTO","CA","9167073158","4","8","HOS|DriverFitness|DrugsAlcohol|VehicleMaint","4","22","11","3","https://ai.fmcsa.dot.gov/SMS/Carrier/4252254/Overview.aspx"
"3468613","UTILICOM LLC",,"MARYSVILLE","WA","4256267804","6","13","HOS|DriverFitness|DrugsAlcohol|VehicleMaint","4","16","3","5","https://ai.fmcsa.dot.gov/SMS/Carrier/3468613/Overview.aspx"
"3548654","I&A TRANSPORTATION LLC",,"RIO RICO","AZ","5203136780","3","1","HOS|DriverFitness|DrugsAlcohol|VehicleMaint","4","12","2","3","https://ai.fmcsa.dot.gov/SMS/Carrier/3548654/Overview.aspx"
"3263974","RICHARDS EXCAVATING INC",,"WATERTOWN","WI","9202852508","9","6","HOS|DriverFitness|DrugsAlcohol|VehicleMaint","4","8","2","3","https://ai.fmcsa.dot.gov/SMS/Carrier/3263974/Overview.aspx"
"1909022","NAVY CITY METALS & RECYCLING INC",,"BREMERTON","WA","3603736595","3","1","HOS|DriverFitness|DrugsAlcohol|VehicleMaint","4","8","2","2","https://ai.fmcsa.dot.gov/SMS/Carrier/1909022/Overview.aspx"
"3056387","STARLIGHT UTILITY INC",,"LEWISVILLE","TX","2146359163","6","2","HOS|DriverFitness|DrugsAlcohol|VehicleMaint","4","8","6","6","https://ai.fmcsa.dot.gov/SMS/Carrier/3056387/Overview.aspx"
"2579107","BARON EXPRESS INC",,"LAFAYETTE","TN","6153887483","14","11","HOS|DriverFitness|VehicleMaint","3","110","28","21","https://ai.fmcsa.dot.gov/SMS/Carrier/2579107/Overview.aspx"
"3173835","ONLINE TRANSPORT LLC",,"SAN ANTONIO","TX","2109708336","25","30","HOS|DriverFitness|VehicleMaint","3","80","36","19","https://ai.fmcsa.dot.gov/SMS/Carrier/3173835/Overview.aspx"
"3863918","AKINCI EXPRESS LLC",,"CANTON","OH","8564124721","16","9","DriverFitness|DrugsAlcohol|VehicleMaint","3","66","12","11","https://ai.fmcsa.dot.gov/SMS/Carrier/3863918/Overview.aspx"
"2871348","BSR TRUCKING INC",,"FRESNO","CA","5595776799","12","16","HOS|DriverFitness|VehicleMaint","3","60","5","12","https://ai.fmcsa.dot.gov/SMS/Carrier/2871348/Overview.aspx"
"4102557","PHOENIX FREIGHT LLC",,"COLUMBUS","OH","8635125757","5","3","HOS|DrugsAlcohol|VehicleMaint","3","58","5","20","https://ai.fmcsa.dot.gov/SMS/Carrier/4102557/Overview.aspx"
"3366933","KS LOGISTICS INC",,"FONTANA","CA","9519417017","8","15","HOS|DrugsAlcohol|VehicleMaint","3","57","6","9","https://ai.fmcsa.dot.gov/SMS/Carrier/3366933/Overview.aspx"
"1980630","G MASTER CORP",,"HIALEAH","FL","7863900803","1","1","HOS|DriverFitness|VehicleMaint","3","41","25","9","https://ai.fmcsa.dot.gov/SMS/Carrier/1980630/Overview.aspx"
"3754771","DIAMONDBACK TRUCKING CO",,"CALEDONIA","WI","9519236104","5","2","DriverFitness|DrugsAlcohol|VehicleMaint","3","31","11","9","https://ai.fmcsa.dot.gov/SMS/Carrier/3754771/Overview.aspx"
"4008600","EMMA NEWBEE LOGISTICS INC",,"ONTARIO","CA","3477699999","1","2","HOS|DriverFitness|DrugsAlcohol","3","30","9","12","https://ai.fmcsa.dot.gov/SMS/Carrier/4008600/Overview.aspx"
"4002421","DMV PARTNERS LLC",,"LAUREL","MD","2408613543","1","1","HOS|DriverFitness|DrugsAlcohol","3","29","18","2","https://ai.fmcsa.dot.gov/SMS/Carrier/4002421/Overview.aspx"
"3742167","FULLSEND XPRESS LLC",,"DALLAS","TX","2147189483","17","12","DriverFitness|DrugsAlcohol|VehicleMaint","3","27","11","9","https://ai.fmcsa.dot.gov/SMS/Carrier/3742167/Overview.aspx"
"897512","JTR ENTERPRISES LLC",,"YAKIMA","WA","5099854523","6","7","HOS|DriverFitness|DrugsAlcohol","3","24","4","12","https://ai.fmcsa.dot.gov/SMS/Carrier/897512/Overview.aspx"
"2051562","TRIPLE C HOLDINGS LLC",,"SCOTTSBLUFF","NE","3086315308","23","19","HOS|DriverFitness|DrugsAlcohol","3","24","5","6","https://ai.fmcsa.dot.gov/SMS/Carrier/2051562/Overview.aspx"
